tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
193,dedos,0.00,0.00,,0.00,0.00,
194,dedos,0.00,0.00,,0.00,0.00,
195,dedos,0.00,0.00,,0.00,0.00,
196,dedos,0.00,0.00,,0.00,0.00,
197,dedos,0.00,0.00,,0.00,0.00,
198,dedos,0.00,0.00,,0.00,0.00,
199,dedos,1.00,0.00,frase tamborins,0.00,0.00,
200,dedos,0.00,0.00,,0.00,0.00,
201,dedos,0.00,0.00,,0.00,0.00,
202,dedos,0.00,0.00,,0.00,0.00,
203,dedos,0.00,0.00,,0.00,0.00,
204,samba,0.00,0.00,,0.00,0.00,
205,samba,0.00,0.00,,0.00,0.00,
206,samba,0.00,0.00,,0.00,0.00,
207,samba,0.00,0.00,,0.00,0.00,
208,samba,0.00,0.00,,0.00,0.00,
209,samba,0.00,0.00,,0.00,0.00,
210,samba,0.00,0.00,,0.00,0.00,
211,samba,0.00,0.00,,0.00,0.00,
212,samba,0.00,0.00,,0.00,0.00,
213,samba,0.00,0.00,,0.00,0.00,
214,samba,0.00,0.00,,0.00,0.00,
215,samba,0.00,0.00,,0.00,0.00,
216,mama eu,0.00,0.00,,0.00,0.00,
217,mama eu,0.00,0.00,,0.00,0.00,
218,mama eu,0.00,0.00,,0.00,0.00,
219,mama eu,0.00,0.00,,0.00,0.00,
220,mama eu,0.00,0.00,,0.00,0.00,
221,mama eu,0.00,0.00,,0.00,0.00,
222,mama eu,2.00,0.00,bossa,0.00,0.00,
223,mama eu,0.00,0.00,,0.00,0.00,
224,mama eu,0.00,0.00,,0.00,0.10,surdos
225,mama eu,0.00,1.00,variacao ritmica,0.00,0.00,
226,mama eu,0.00,0.00,,0.00,0.00,
227,mama eu,0.00,0.00,,0.00,0.00,
228,mama eu,0.00,0.00,,0.00,0.00,
229,mama eu,0.00,0.00,,0.00,0.00,
230,mama eu,0.00,0.00,,0.00,0.00,
231,mama eu,0.00,0.00,,0.00,0.00,
232,mama eu,0.00,0.00,,0.00,0.00,
233,mama eu,0.00,0.00,,0.00,0.00,
234,mama eu,0.00,0.00,,0.00,0.00,
235,mama eu,0.00,0.00,,0.00,0.00,
236,mama eu,0.00,0.00,,0.00,0.10,caixas
